sme_id,year,state,sector,size_category,annual_revenue_ngn,innovations_adopted,innovation_intensity,constraints_faced,constraint_severity,revenue_growth_rate,profitability_rate,employee_growth_rate,digital_readiness_score,access_to_finance,government_support,num_employees,years_in_operation,export_orientation,formal_registration
27,2015,Benue,Education,Small (10-49),3340246.28,Blockchain Technology; Cloud Computing; Online Learning Platform,0.188,Technology Infrastructure; Market Access; Government Policy Uncertainty; Regulatory Barriers; Competition from Large Firms; Financial Constraints; Limited Technical Support; Digital Literacy,1.7,6.1,19.32,10.11,1.0,Moderate,Moderate,248,25,No,Yes
28,2015,Rivers,Education,Small (10-49),432778.09,Supply Chain Management; Digital Marketing; E-commerce Platform; Data Analytics,0.25,Power Supply Issues; Market Access; Financial Constraints,3.41,11.52,6.98,-12.81,1.54,Easy,Minimal,187,11,No,Yes
29,2015,Rivers,Manufacturing,Micro (1-9),32143.92,IoT Solutions; Data Analytics; Digital Marketing; Financial Technology,0.25,Financial Constraints; High Internet Costs; Government Policy Uncertainty; Limited R&D Investment; Limited Technical Support; Regulatory Barriers; Technology Infrastructure,3.88,17.22,-2.96,31.84,2.65,Moderate,Moderate,236,11,No,Yes
30,2015,Borno,Mining,Medium (50-249),3880899.26,CRM Systems; Supply Chain Management; IoT Solutions; AI/ML Tools,0.25,Competition from Large Firms; Market Access; High Internet Costs; Infrastructure Limitations; Regulatory Barriers; Digital Literacy; Power Supply Issues,1.86,11.22,7.29,6.76,5.0,Difficult,Moderate,158,19,No,Yes
31,2015,Abia,Construction,Micro (1-9),145034.67,Supply Chain Management; Blockchain Technology; Telemedicine,0.188,Limited Technical Support; Regulatory Barriers; High Internet Costs; Access to Credit; Infrastructure Limitations; Technical Skills Gap; Market Access; Technology Infrastructure,2.34,3.15,14.41,7.5,2.6,Easy,Significant,61,22,No,Yes
32,2015,Ekiti,Services,Micro (1-9),1741109.0,Smart Agriculture,0.062,Access to Credit; Digital Literacy,2.74,7.78,18.46,-2.0,4.34,Very Difficult,Minimal,184,23,No,Yes
33,2015,Gombe,Services,Small (10-49),3137169.99,,0.0,Government Policy Uncertainty; Digital Literacy,2.09,-18.3,22.25,-11.69,2.79,Moderate,Moderate,179,17,No,Yes
34,2015,Gombe,Food & Beverage,Small (10-49),3601471.31,Data Analytics; Social Media Marketing; Blockchain Technology,0.188,Government Policy Uncertainty; Access to Credit; Power Supply Issues; Competition from Large Firms; High Internet Costs; Digital Literacy,3.93,10.32,17.17,19.03,4.7,Difficult,Minimal,230,6,No,Yes
35,2015,Gombe,Real Estate,Small (10-49),1452461.29,Smart Agriculture; Supply Chain Management; Cloud Computing; Data Analytics,0.25,Technical Skills Gap; Competition from Large Firms; Market Access; Regulatory Barriers; Government Policy Uncertainty; Technology Infrastructure; Power Supply Issues; Talent Acquisition,2.0,-14.7,11.8,15.68,3.44,Easy,None,178,5,Yes,Yes
36,2015,Niger,Healthcare,Micro (1-9),278164.43,E-commerce Platform; Cloud Computing; Online Learning Platform,0.188,Digital Literacy; Government Policy Uncertainty; Power Supply Issues; Competition from Large Firms; Financial Constraints; Limited R&D Investment; Talent Acquisition,4.88,5.26,11.96,13.92,3.25,Moderate,Moderate,77,25,No,No
37,2015,Niger,Retail,Small (10-49),762710.8,Blockchain Technology; Smart Agriculture; Cloud Computing; Data Analytics,0.25,Access to Credit; Financial Constraints; Digital Literacy; Technology Infrastructure; Limited Technical Support; Government Policy Uncertainty; Infrastructure Limitations,2.28,-12.86,16.66,-8.14,5.0,Difficult,Moderate,160,18,Yes,No
38,2015,Zamfara,Energy,Micro (1-9),118986.74,Online Learning Platform; Mobile Payment System; Smart Agriculture; Blockchain Technology; Telemedicine,0.312,Market Access,2.26,10.55,24.89,7.72,5.0,Moderate,None,84,11,No,Yes
39,2015,Niger,Construction,Small (10-49),78563.26,Digital Marketing; Financial Technology; Automation Software,0.188,Technology Infrastructure,4.54,-12.01,17.39,14.33,3.28,Moderate,None,246,21,Yes,No
40,2015,Gombe,Technology,Small (10-49),4568778.43,Data Analytics; Cloud Computing; Mobile Payment System; Blockchain Technology,0.25,Power Supply Issues; Regulatory Barriers,2.61,-1.89,32.3,0.56,2.4,Moderate,None,95,6,Yes,No
41,2015,Ebonyi,Construction,Micro (1-9),931043.59,,0.0,Power Supply Issues; Limited Technical Support; Digital Literacy; Government Policy Uncertainty; Regulatory Barriers,2.69,-4.76,19.2,1.36,1.75,Easy,Minimal,161,8,Yes,Yes
42,2015,Kano,Real Estate,Small (10-49),161268.53,,0.0,Technology Infrastructure,1.93,-7.47,12.0,8.2,5.0,Difficult,Minimal,18,17,No,Yes
43,2015,Niger,Real Estate,Micro (1-9),49117.72,Financial Technology; Supply Chain Management; Online Learning Platform,0.188,Competition from Large Firms; Infrastructure Limitations; Digital Literacy; Limited R&D Investment; High Internet Costs; Market Access; Limited Technical Support; Access to Credit,1.87,5.98,5.12,34.76,2.0,Moderate,Moderate,152,9,No,No
44,2015,Bayelsa,Construction,Small (10-49),4200249.02,Telemedicine,0.062,Technology Infrastructure; Financial Constraints; Access to Credit; Talent Acquisition; Infrastructure Limitations; Government Policy Uncertainty; Regulatory Barriers,3.05,33.14,6.75,-1.6,2.08,Moderate,None,72,20,No,Yes
45,2015,Sokoto,Technology,Micro (1-9),83568.96,Online Learning Platform; Blockchain Technology; Automation Software; Social Media Marketing; Cloud Computing,0.312,Limited Technical Support; Competition from Large Firms; Access to Credit; Government Policy Uncertainty; Financial Constraints; Technical Skills Gap; Market Access; Regulatory Barriers,4.12,0.96,10.84,0.42,1.09,Moderate,None,170,19,No,Yes
46,2015,Sokoto,Healthcare,Micro (1-9),422983.23,Supply Chain Management; AI/ML Tools; Financial Technology; Blockchain Technology; Data Analytics,0.312,Market Access; Regulatory Barriers; Technical Skills Gap; Competition from Large Firms; Limited R&D Investment,1.62,24.44,7.5,13.3,3.57,Moderate,Minimal,244,25,Yes,Yes
47,2015,Oyo,Construction,Small (10-49),75085.58,CRM Systems; E-commerce Platform; Online Learning Platform; Cloud Computing,0.25,Regulatory Barriers; Technology Infrastructure; Infrastructure Limitations; Market Access; Financial Constraints,3.37,-4.27,13.73,0.56,4.25,Difficult,None,12,2,No,Yes
48,2015,Cross River,Energy,Small (10-49),1648289.52,Cloud Computing; Online Learning Platform; Digital Marketing,0.188,Access to Credit; Talent Acquisition; Limited R&D Investment; Technology Infrastructure; Infrastructure Limitations,3.2,24.97,10.76,-5.02,1.0,Very Difficult,None,221,16,Yes,No
49,2015,Nasarawa,Financial Services,Micro (1-9),67702.88,E-commerce Platform; Mobile Payment System; Telemedicine; Social Media Marketing; CRM Systems,0.312,Technical Skills Gap; Regulatory Barriers; Talent Acquisition; High Internet Costs; Digital Literacy,3.89,-4.28,12.23,14.09,1.29,Difficult,Moderate,58,25,No,Yes
50,2015,Ondo,Construction,Small (10-49),3939.41,CRM Systems; Smart Agriculture; Telemedicine,0.188,Power Supply Issues,3.37,-4.73,8.04,18.57,4.43,Very Difficult,None,196,7,Yes,Yes
51,2015,Bayelsa,Services,Micro (1-9),1492627.86,Mobile Payment System; Smart Agriculture; Digital Marketing; IoT Solutions,0.25,Competition from Large Firms; Power Supply Issues; Access to Credit; Market Access; Financial Constraints; Regulatory Barriers; Talent Acquisition; High Internet Costs,2.07,12.15,14.96,17.14,3.96,Difficult,Minimal,176,8,No,No
52,2015,Ekiti,Education,Micro (1-9),264802.92,Data Analytics,0.062,Limited R&D Investment; Infrastructure Limitations; Technical Skills Gap; Financial Constraints; Talent Acquisition,4.35,19.37,21.58,20.17,5.0,Difficult,Minimal,212,19,No,Yes
53,2015,Osun,Mining,Micro (1-9),354495.83,Automation Software; Smart Agriculture; Telemedicine,0.188,Access to Credit; Technical Skills Gap; Power Supply Issues; Financial Constraints; Digital Literacy; Technology Infrastructure; Market Access; Competition from Large Firms,1.63,2.87,5.05,-3.63,4.09,Easy,Significant,215,19,Yes,No
54,2015,Jigawa,Transportation,Micro (1-9),268848.44,Smart Agriculture,0.062,Talent Acquisition; Market Access; Infrastructure Limitations; Power Supply Issues; Digital Literacy; Access to Credit; Technical Skills Gap; Competition from Large Firms,3.03,14.59,13.96,5.79,1.0,Moderate,None,172,4,Yes,Yes
55,2015,Plateau,Construction,Small (10-49),2234169.99,E-commerce Platform; Blockchain Technology; Smart Agriculture,0.188,Market Access; Technology Infrastructure; Technical Skills Gap; Digital Literacy; High Internet Costs; Financial Constraints,3.54,31.23,14.16,8.61,2.48,Difficult,Minimal,106,2,Yes,Yes
56,2015,Plateau,Energy,Micro (1-9),310403.03,,0.0,Market Access; High Internet Costs; Infrastructure Limitations; Talent Acquisition,2.37,9.23,17.59,7.59,2.4,Moderate,Minimal,32,1,Yes,No
57,2015,Kano,Retail,Micro (1-9),205439.73,Mobile Payment System; Cloud Computing; Online Learning Platform,0.188,Access to Credit; Technical Skills Gap,2.2,2.98,13.82,-17.97,4.94,Difficult,None,239,23,No,Yes
58,2015,Jigawa,Education,Small (10-49),354974.84,Blockchain Technology; Smart Agriculture; Automation Software,0.188,Digital Literacy; Regulatory Barriers; Power Supply Issues,4.49,10.44,7.44,10.03,5.0,Difficult,Moderate,222,3,No,No
59,2015,Niger,Healthcare,Medium (50-249),2904144.84,Automation Software; Online Learning Platform; Digital Marketing; Data Analytics,0.25,Limited R&D Investment; Power Supply Issues; Talent Acquisition; Limited Technical Support; Access to Credit,3.73,-17.36,8.76,-10.54,2.88,Very Difficult,Minimal,124,12,No,Yes
60,2015,Taraba,Education,Micro (1-9),354464.54,IoT Solutions; Financial Technology,0.125,Power Supply Issues; Digital Literacy; Regulatory Barriers; Limited R&D Investment,1.88,23.51,14.42,-2.02,1.0,Easy,Minimal,181,13,No,No
61,2015,Delta,Financial Services,Medium (50-249),15719667.46,Supply Chain Management,0.062,Limited R&D Investment; Talent Acquisition,4.8,5.12,2.32,3.73,4.34,Moderate,Minimal,117,1,Yes,Yes
62,2015,Delta,Manufacturing,Micro (1-9),37320.13,Supply Chain Management; CRM Systems,0.125,Limited Technical Support; Technical Skills Gap; Technology Infrastructure; Talent Acquisition; High Internet Costs; Digital Literacy; Government Policy Uncertainty,2.1,33.73,11.9,8.31,2.77,Difficult,Moderate,125,18,Yes,Yes
63,2015,Gombe,Energy,Small (10-49),1236855.83,Blockchain Technology; Financial Technology,0.125,Digital Literacy; Technical Skills Gap,1.85,9.63,10.3,17.37,2.58,Difficult,Minimal,26,15,Yes,Yes
64,2015,Adamawa,Agriculture,Micro (1-9),298522.97,,0.0,Technology Infrastructure; Talent Acquisition; Digital Literacy; Infrastructure Limitations; Regulatory Barriers,1.74,8.06,15.28,11.05,4.23,Difficult,Minimal,203,6,Yes,Yes
65,2015,Lagos,Transportation,Small (10-49),1427682.19,Data Analytics; Cloud Computing; Blockchain Technology,0.188,Access to Credit; Market Access; Limited Technical Support; Financial Constraints; Talent Acquisition,4.04,-5.85,15.11,21.19,4.08,Very Difficult,Minimal,41,3,No,No
66,2015,Kano,Energy,Medium (50-249),511298.32,Automation Software; Blockchain Technology; Online Learning Platform; Data Analytics; Cloud Computing,0.312,Limited R&D Investment; Access to Credit; Technical Skills Gap; Regulatory Barriers; Digital Literacy; Power Supply Issues; Technology Infrastructure,1.5,7.74,6.42,28.25,3.13,Difficult,Significant,76,1,No,Yes
67,2015,Zamfara,Real Estate,Small (10-49),85292.12,E-commerce Platform; Telemedicine; CRM Systems; Financial Technology; Blockchain Technology,0.312,Government Policy Uncertainty; Talent Acquisition; Regulatory Barriers; Power Supply Issues; Technology Infrastructure,1.26,-15.69,17.21,-2.92,4.99,Moderate,None,65,22,Yes,Yes
68,2015,Akwa Ibom,Construction,Small (10-49),481495.3,,0.0,Competition from Large Firms; Infrastructure Limitations; Technical Skills Gap; Market Access; Technology Infrastructure; Digital Literacy,1.29,8.11,8.36,-25.83,1.0,Moderate,None,139,12,No,No
69,2015,Imo,Food & Beverage,Small (10-49),2282135.04,CRM Systems; Financial Technology; Online Learning Platform,0.188,Government Policy Uncertainty; Technical Skills Gap; Access to Credit; Limited R&D Investment; Infrastructure Limitations; Regulatory Barriers,3.78,14.16,16.47,4.89,2.17,Very Difficult,Minimal,102,18,No,Yes
70,2015,Nasarawa,Agriculture,Micro (1-9),118659.55,,0.0,Technology Infrastructure; Limited Technical Support; Competition from Large Firms; Limited R&D Investment; Market Access; Power Supply Issues; Digital Literacy; Talent Acquisition,4.95,2.37,12.27,-9.63,5.0,Easy,None,7,20,No,No
71,2015,FCT,Energy,Micro (1-9),466416.71,CRM Systems; Supply Chain Management; IoT Solutions,0.188,Infrastructure Limitations; Financial Constraints,3.24,-4.82,12.63,1.75,3.04,Very Difficult,None,127,4,Yes,Yes
72,2015,Taraba,Services,Micro (1-9),131292.85,Online Learning Platform; CRM Systems,0.125,Talent Acquisition; Digital Literacy; Limited Technical Support,1.53,-2.62,27.94,13.4,2.17,Easy,Minimal,105,9,Yes,Yes
73,2015,Enugu,Financial Services,Micro (1-9),323546.89,Financial Technology,0.062,Limited Technical Support; Technology Infrastructure,1.67,12.69,5.35,28.39,3.84,Difficult,Significant,92,2,No,Yes
74,2015,Borno,Real Estate,Small (10-49),1315720.16,,0.0,Limited Technical Support; Talent Acquisition; Power Supply Issues; Financial Constraints,4.21,18.86,21.43,-1.65,5.0,Easy,None,33,19,Yes,Yes
75,2015,Yobe,Technology,Micro (1-9),206306.77,Supply Chain Management,0.062,Government Policy Uncertainty; Power Supply Issues; Financial Constraints,2.81,14.6,31.29,0.47,3.57,Moderate,Significant,34,18,No,No
76,2015,Borno,Energy,Small (10-49),155225.73,Digital Marketing,0.062,Government Policy Uncertainty; Talent Acquisition; Regulatory Barriers; Power Supply Issues; Technology Infrastructure; Financial Constraints,4.16,0.45,12.09,32.62,5.0,Moderate,None,190,14,Yes,No
77,2015,Oyo,Financial Services,Small (10-49),1403508.18,Cloud Computing; Blockchain Technology; Automation Software; Smart Agriculture,0.25,Competition from Large Firms,1.91,-8.64,17.21,-1.23,3.58,Difficult,Moderate,134,10,No,Yes
78,2015,Adamawa,Agriculture,Medium (50-249),23298114.3,Online Learning Platform; Supply Chain Management; E-commerce Platform,0.188,Competition from Large Firms; Access to Credit; Technical Skills Gap; Government Policy Uncertainty; Technology Infrastructure; Power Supply Issues; Infrastructure Limitations; Talent Acquisition,3.91,6.82,8.1,25.35,1.0,Easy,Minimal,150,18,No,Yes
79,2015,Sokoto,Construction,Micro (1-9),28078.24,Online Learning Platform; E-commerce Platform; Social Media Marketing; Financial Technology,0.25,Limited R&D Investment; Limited Technical Support,4.95,-15.24,29.72,3.85,5.0,Difficult,Moderate,185,7,No,Yes
80,2015,FCT,Education,Micro (1-9),22935.87,Social Media Marketing; IoT Solutions; Financial Technology,0.188,Technology Infrastructure; Digital Literacy,3.37,-0.21,25.15,22.87,2.07,Moderate,None,245,5,No,Yes
81,2015,Bayelsa,Manufacturing,Micro (1-9),261702.66,Financial Technology; Social Media Marketing; Mobile Payment System; Automation Software; Digital Marketing,0.312,Limited Technical Support; Technical Skills Gap; Digital Literacy; Technology Infrastructure; Talent Acquisition; Government Policy Uncertainty,3.86,13.42,9.76,-15.93,3.11,Very Difficult,Minimal,248,10,No,Yes
82,2015,Zamfara,Retail,Micro (1-9),134850.7,Smart Agriculture; Cloud Computing; Online Learning Platform; E-commerce Platform; AI/ML Tools,0.312,Technical Skills Gap; Government Policy Uncertainty; Market Access; Power Supply Issues; Regulatory Barriers; Digital Literacy,3.06,24.65,22.29,-17.07,2.55,Difficult,Significant,210,20,Yes,Yes
83,2015,Jigawa,Agriculture,Micro (1-9),42463.33,CRM Systems; Telemedicine; AI/ML Tools; Online Learning Platform; Digital Marketing,0.312,Limited R&D Investment; Infrastructure Limitations; Power Supply Issues,4.88,20.77,1.46,19.38,1.93,Difficult,None,190,21,Yes,Yes
84,2015,Sokoto,Technology,Micro (1-9),25157.76,Supply Chain Management; Mobile Payment System; AI/ML Tools,0.188,Competition from Large Firms; Technology Infrastructure; Government Policy Uncertainty; Power Supply Issues; Talent Acquisition,1.29,4.36,12.97,-11.22,4.99,Easy,None,41,25,Yes,Yes
85,2015,Jigawa,Financial Services,Small (10-49),347793.82,Telemedicine; IoT Solutions; Data Analytics,0.188,Government Policy Uncertainty; High Internet Costs; Technical Skills Gap; Technology Infrastructure,2.72,18.36,0.19,-5.53,4.14,Moderate,None,174,19,No,Yes
86,2015,Kano,Agriculture,Micro (1-9),449771.44,E-commerce Platform; Digital Marketing; Cloud Computing; Data Analytics,0.25,Government Policy Uncertainty; Infrastructure Limitations; Talent Acquisition; Market Access,2.9,27.08,15.62,10.7,5.0,Moderate,None,128,24,No,Yes
87,2015,Lagos,Retail,Small (10-49),1043596.77,Financial Technology; E-commerce Platform; IoT Solutions; Smart Agriculture,0.25,Digital Literacy,1.82,3.53,7.51,5.82,1.96,Easy,Moderate,221,11,No,Yes
88,2015,Niger,Construction,Micro (1-9),139093.39,,0.0,Infrastructure Limitations; Government Policy Uncertainty; Power Supply Issues; Access to Credit; Technology Infrastructure; Technical Skills Gap,4.74,-7.23,12.98,-20.38,4.85,Moderate,None,112,19,No,Yes
89,2015,Nasarawa,Real Estate,Micro (1-9),246664.94,Blockchain Technology; AI/ML Tools,0.125,Technical Skills Gap; High Internet Costs; Limited Technical Support,2.82,-23.43,37.86,-5.95,3.93,Easy,Minimal,232,25,No,Yes
90,2015,Delta,Technology,Micro (1-9),52777.41,IoT Solutions; Mobile Payment System,0.125,Government Policy Uncertainty; Talent Acquisition; Limited Technical Support,3.69,18.29,6.87,29.7,2.86,Easy,Significant,161,16,No,No
91,2015,Ondo,Energy,Medium (50-249),4834939.49,Supply Chain Management; Online Learning Platform; Smart Agriculture; AI/ML Tools,0.25,Access to Credit; Technical Skills Gap; Talent Acquisition,3.77,8.03,29.73,17.53,3.75,Moderate,None,71,19,Yes,Yes
92,2015,Bauchi,Construction,Micro (1-9),94967.97,,0.0,Technology Infrastructure,4.72,9.53,21.92,20.39,4.35,Difficult,None,222,3,No,Yes
93,2015,Yobe,Tourism,Small (10-49),131333.17,,0.0,Talent Acquisition; Government Policy Uncertainty; Power Supply Issues; Limited Technical Support; Regulatory Barriers; Technology Infrastructure; Access to Credit; Infrastructure Limitations,2.58,-3.23,14.88,18.07,2.75,Very Difficult,Minimal,208,11,Yes,Yes
94,2015,Edo,Agriculture,Micro (1-9),244928.11,Telemedicine; Automation Software; Smart Agriculture,0.188,Technology Infrastructure; Talent Acquisition; Market Access,3.95,30.31,10.18,17.54,5.0,Moderate,Moderate,174,20,Yes,No
95,2015,Kebbi,Manufacturing,Micro (1-9),37304.55,Social Media Marketing; Data Analytics; Telemedicine; Financial Technology,0.25,Technology Infrastructure; Technical Skills Gap; Power Supply Issues,4.23,19.47,17.83,21.71,2.73,Difficult,Moderate,80,21,No,Yes
96,2015,Bayelsa,Construction,Micro (1-9),188075.72,Supply Chain Management; Online Learning Platform; Mobile Payment System; Smart Agriculture; Financial Technology,0.312,Limited Technical Support; Talent Acquisition,1.02,-7.14,2.76,-13.23,5.0,Moderate,None,93,10,Yes,No
97,2015,Kebbi,Tourism,Micro (1-9),58902.95,Data Analytics,0.062,Technical Skills Gap; Market Access; Government Policy Uncertainty,2.55,-15.1,9.66,-11.35,2.12,Easy,Moderate,214,24,Yes,Yes
98,2015,Cross River,Transportation,Micro (1-9),199512.58,AI/ML Tools,0.062,Competition from Large Firms; Access to Credit; Financial Constraints,3.67,-2.14,6.31,34.03,4.97,Moderate,Minimal,61,15,No,No
99,2015,Ondo,Technology,Micro (1-9),110216.55,Smart Agriculture; Telemedicine,0.125,Technology Infrastructure; Limited Technical Support; Power Supply Issues; Access to Credit,3.08,1.6,12.13,-9.61,1.0,Moderate,None,98,17,No,No
100,2015,Ekiti,Tourism,Small (10-49),6376162.81,E-commerce Platform; Supply Chain Management,0.125,Limited R&D Investment; Technology Infrastructure; High Internet Costs; Technical Skills Gap; Government Policy Uncertainty; Competition from Large Firms; Market Access; Power Supply Issues,3.13,-19.23,24.34,12.42,4.27,Difficult,None,232,17,Yes,No
101,2015,Bayelsa,Food & Beverage,Micro (1-9),453204.47,Financial Technology; Telemedicine; Digital Marketing,0.188,Financial Constraints; Digital Literacy; High Internet Costs; Technology Infrastructure; Regulatory Barriers; Limited R&D Investment; Technical Skills Gap,4.82,4.66,15.71,2.78,4.2,Moderate,None,239,4,No,No
102,2015,Cross River,Agriculture,Micro (1-9),156306.82,Data Analytics; Social Media Marketing; Financial Technology,0.188,Access to Credit; Power Supply Issues; Financial Constraints; Technical Skills Gap; Government Policy Uncertainty; Market Access; Regulatory Barriers; Infrastructure Limitations,2.03,-5.95,3.7,-8.93,3.52,Difficult,Minimal,136,14,Yes,No
103,2015,Gombe,Construction,Micro (1-9),864929.04,Online Learning Platform,0.062,Technical Skills Gap; Talent Acquisition; Access to Credit; Power Supply Issues; High Internet Costs; Financial Constraints; Limited Technical Support; Regulatory Barriers,2.25,31.52,19.03,-2.52,1.0,Difficult,None,1,20,No,Yes
