Variable,Description,Type,Scale,Source
Cost1_TimeConsuming,Perceived cost/barrier: Cost1_TimeConsuming,Likert,1-7,Additional Measures
Cost2_Inconvenient,Perceived cost/barrier: Cost2_Inconvenient,Likert,1-7,Additional Measures
Cost3_Complicated,Perceived cost/barrier: Cost3_Complicated,Likert,1-7,Additional Measures
Awareness1_ThreatKnowledge,Threat awareness: Awareness1_ThreatKnowledge,Likert,1-7,Additional Measures
Awareness2_RiskAwareness,Threat awareness: Awareness2_RiskAwareness,Likert,1-7,Additional Measures
Awareness3_SecurityKnowledge,Threat awareness: Awareness3_SecurityKnowledge,Likert,1-7,Additional Measures
DescNorm1_OthersFollow,Descriptive norm: DescNorm1_OthersFollow,Likert,1-7,Additional Measures
DescNorm2_PeerBehavior,Descriptive norm: DescNorm2_PeerBehavior,Likert,1-7,Additional Measures
DescNorm3_CommonPractice,Descriptive norm: DescNorm3_CommonPractice,Likert,1-7,Additional Measures
T2_Behavior1_Frequency,Time 2 measure: T2_Behavior1_Frequency,Likert/Binary,1-7 or 0/1,Behavior (T2)
T2_Behavior2_Consistency,Time 2 measure: T2_Behavior2_Consistency,Likert/Binary,1-7 or 0/1,Behavior (T2)
T2_Behavior3_Completeness,Time 2 measure: T2_Behavior3_Completeness,Likert/Binary,1-7 or 0/1,Behavior (T2)
T2_Behavior4_Quality,Time 2 measure: T2_Behavior4_Quality,Likert/Binary,1-7 or 0/1,Behavior (T2)
T2_Behavior5_Adherence,Time 2 measure: T2_Behavior5_Adherence,Likert/Binary,1-7 or 0/1,Behavior (T2)
T2_BehaviorAdopted_Binary,Time 2 measure: T2_BehaviorAdopted_Binary,Likert/Binary,1-7 or 0/1,Behavior (T2)
T2_Timestamp,Time 2 measure: T2_Timestamp,Likert/Binary,1-7 or 0/1,Behavior (T2)
T2_Completed,Time 2 measure: T2_Completed,Likert/Binary,1-7 or 0/1,Behavior (T2)
T1_Timestamp,Data collection timestamp: T1_Timestamp,DateTime,YYYY-MM-DD HH:MM:SS,System
T2_Timestamp,Time 2 measure: T2_Timestamp,Likert/Binary,1-7 or 0/1,Behavior (T2)
T2_Completed,Time 2 measure: T2_Completed,Likert/Binary,1-7 or 0/1,Behavior (T2)
AttentionCheck1,AttentionCheck1,Various,Various,Quality Check
SurveyDuration_Seconds,SurveyDuration_Seconds,Various,Various,Quality Check
ResponseVariance,ResponseVariance,Various,Various,Quality Check
LowQuality_Flag,LowQuality_Flag,Various,Various,Quality Check
ATT_Mean,ATT_Mean,Various,Various,Quality Check
SN_Mean,SN_Mean,Various,Various,Quality Check
PBC_Mean,PBC_Mean,Various,Various,Quality Check
Severity_Mean,Severity_Mean,Various,Various,Quality Check
Vulnerability_Mean,Vulnerability_Mean,Various,Various,Quality Check
SelfEfficacy_Mean,SelfEfficacy_Mean,Various,Various,Quality Check
ResponseEfficacy_Mean,ResponseEfficacy_Mean,Various,Various,Quality Check
PastBehavior_Mean,Past behavior measure: PastBehavior_Mean,Likert,1-7,Past Behavior
Intention_Mean,Intention_Mean,Various,Various,Quality Check
Trust_Mean,Trust in bank: Trust_Mean,Likert,1-7,Additional Measures
Cost_Mean,Perceived cost/barrier: Cost_Mean,Likert,1-7,Additional Measures
Awareness_Mean,Threat awareness: Awareness_Mean,Likert,1-7,Additional Measures
DescNorm_Mean,Descriptive norm: DescNorm_Mean,Likert,1-7,Additional Measures
T2_Behavior_Mean,Time 2 measure: T2_Behavior_Mean,Likert/Binary,1-7 or 0/1,Behavior (T2)
