variable,label,section,type,scale,values,notes
B_comp_product_innovation_mean_1_5,Composite: Product/service innovation (mean),B,numeric,1-5,Mean of B4 items,
B_comp_bmi_mean_1_5,Composite: Business model innovation (mean),B,numeric,1-5,Mean of B5 items,
B_comp_level_digitization_1_5,Level of digitization (ordinal),B,numeric,1-5,Derived from latent digitization,
B_comp_level_digitization_score_0_100,Digitization score (0-100),B,numeric,0-100,Scaled from 1-5 index,
C1_financial_access_to_credit,Financial constraint: access to credit,C,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
C1_financial_cost_of_innovation,Financial constraint: cost of innovation,C,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
C1_financial_internal_capital_sufficiency,Financial constraint: sufficiency of internal capital,C,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
C2_human_skill_shortage,Human capital: difficulty finding skilled employees,C,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
C2_human_training_cost,Human capital: cost of training,C,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
C2_human_mgmt_capability_for_change,Human capital: management capability for change,C,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
C3_infra_power_reliability,Infrastructure: reliability of electricity/power supply,C,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
C3_infra_internet_quality_cost,Infrastructure: quality and cost of internet,C,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
C3_infra_logistics_access,Infrastructure: access to reliable logistics and transportation,C,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
C4_regulatory_burden_taxes,Regulatory: burden of regulations and taxes,C,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
C4_regulatory_corruption_informal_charges,Regulatory: corruption and informal charges,C,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
C4_regulatory_govt_program_effectiveness,Regulatory: effectiveness of government support programs,C,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
C5_market_competition_intensity,Market: intensity of competition,C,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
C5_market_demand_uncertainty,Market: uncertainty of demand,C,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
C5_market_international_access,Market: access to international markets,C,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
D1_subj_profitability_growth,Subjective: profitability growth (last 3 years),D,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
D1_subj_sales_growth,Subjective: sales growth (last 3 years),D,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
D1_subj_market_share_growth,Subjective: market share growth (last 3 years),D,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
D1_subj_roi,Subjective: ROI,D,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
D1_subj_overall_perf_satisfaction,Subjective: overall performance satisfaction,D,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
D_comp_subjective_performance_mean_1_5,Composite: subjective performance (mean),D,numeric,1-5,Mean of D1 items,
D2_obj_annual_turnover_naira,Objective: annual turnover (NGN),D,numeric,ratio,May be missing,
D2_obj_profit_naira,Objective: profit (NGN),D,numeric,ratio,May be missing,
D2_obj_turnover_band,Objective: turnover band,D,categorical,ordinal,"<₦1m, ₦1m–₦5m, ₦5m–₦20m, ₦20m–₦100m, >₦100m",
D2_obj_profit_band,Objective: profit band,D,categorical,ordinal,"Loss/Break-even, ₦0.5m–₦2m, ₦2m–₦10m, ₦10m–₦50m, >₦50m",
D2_obj_employee_growth_rate_pct,Objective: employee growth rate (%),D,numeric,ratio,-20 to 60 typical,
D2_obj_num_new_branches_clients,Objective: number of new branches/clients,D,integer,count,Non-negative,
D3_nonfin_increase_product_lines,Non-financial: increased product/service lines,D,Likert,1-5,Derived from innovation latents,
D3_nonfin_quality_improved,Non-financial: improved quality,D,Likert,1-5,Derived from innovation latents,
D3_nonfin_customer_satisfaction_retention,Non-financial: customer satisfaction/retention,D,Likert,1-5,Derived from innovation latents,
