Respondent_ID,Stakeholder_Category,State,Organization_Type,Years_of_Experience,Awareness_of_SOFC_Technology,Awareness_Level_Score_1_10,Willingness_to_Adopt_Score_1_10,Perceived_Reliability_vs_Grid_Score_1_10,Perceived_Reliability_vs_Diesel_Score_1_10,Primary_Concern,Secondary_Concern,Key_Benefit_Expected,Investment_Capacity_Million_Naira,Preferred_Financing_Model,Decision_Timeline_Months,Technical_Knowledge_Score_1_10,Environmental_Concern_Score_1_10,Regulatory_Awareness_Score_1_10
SME001,SME Owner,Lagos,Food Processing,6,No,2,5,6,6,High upfront cost,Complexity,Reliable power,80,Lease,24-48,2,5,2
SME002,SME Owner,Anambra,Plastics Manufacturing,8,Partial,4,6,7,7,Financing availability,Technical support,Cost reduction,120,Lease,18-36,3,6,3
SME003,SME Owner,Lagos,Printing Services,5,No,2,4,5,5,System size for small business,Installation complexity,Uninterrupted operations,60,Lease,24-48,2,4,2
SME004,SME Owner,Ogun,Metal Fabrication,9,Partial,5,7,8,7,Initial investment,Maintenance,Lower energy bills,150,Lease,12-24,4,6,3
SME005,SME Owner,Rivers,Cold Storage,7,No,3,6,7,7,Technology unfamiliarity,Operational training,Preserve perishables,100,Lease,18-36,2,7,2
ACAD001,Academic/Researcher,Lagos,University,15,Yes,9,9,9,9,Research funding,Technology localization,Knowledge advancement,N/A,N/A,N/A,9,8,7
ACAD002,Academic/Researcher,Enugu,University,12,Yes,9,8,8,8,Laboratory facilities,Industry collaboration,Research publications,N/A,N/A,N/A,9,8,6
ACAD003,Academic/Researcher,Kaduna,University,14,Yes,8,8,8,8,Funding for pilot projects,Brain drain,Technology transfer,N/A,N/A,N/A,8,7,6
ACAD004,Academic/Researcher,Rivers,Research Institute,10,Yes,9,9,9,9,Equipment procurement,Government support,Innovation ecosystem,N/A,N/A,N/A,9,9,7
ACAD005,Academic/Researcher,FCT,Energy Commission,16,Yes,9,9,9,9,Policy-research gap,Implementation support,National capacity building,N/A,N/A,N/A,9,8,8
NGO001,NGO Representative,FCT,Environmental Advocacy,8,Yes,7,8,8,8,Affordability for communities,Access to financing,Climate impact reduction,N/A,N/A,N/A,6,9,5
NGO002,NGO Representative,Lagos,Energy Access,10,Yes,8,9,9,8,Social equity,Marginalized communities,Universal energy access,N/A,N/A,N/A,7,8,6
NGO003,NGO Representative,Rivers,Community Development,7,Partial,5,7,7,7,Community ownership,Sustainability,Livelihood improvement,N/A,N/A,N/A,5,7,4
NGO004,NGO Representative,Kano,Women Empowerment,6,No,3,6,6,6,Technology appropriateness,Gender inclusion,Economic opportunities,N/A,N/A,N/A,3,6,3
NGO005,NGO Representative,FCT,Clean Energy Coalition,9,Yes,8,9,9,9,Scalability,Political will,Decarbonization,N/A,N/A,N/A,7,9,7
TECH001,Technical Consultant,Lagos,Energy Systems,12,Yes,9,9,9,9,Skilled workforce shortage,Standards development,Market opportunity,N/A,N/A,6-12,9,7,8
TECH002,Technical Consultant,FCT,Engineering Services,14,Yes,9,9,9,9,Equipment sourcing,Training infrastructure,Business growth,N/A,N/A,6-12,9,6,7
TECH003,Technical Consultant,Rivers,Oil & Gas Consulting,11,Yes,8,8,8,8,Client awareness,Competition,Service diversification,N/A,N/A,12-18,8,7,7
TECH004,Technical Consultant,Ogun,Industrial Engineering,9,Partial,7,8,8,8,Technology complexity,Certification requirements,Consulting fees,N/A,N/A,12-24,7,6,6
TECH005,Technical Consultant,Lagos,Power Systems,13,Yes,9,9,9,9,Local content requirements,Partnership with OEMs,Growing market,N/A,N/A,6-12,9,7,8
