variable,section,label,type,scale,allowed_values,derived
C_HC_Mgmt_Leadership_Capability_Low,C,C HC Mgmt Leadership Capability Low,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
C_Infra_Power_Unreliable,C,C Infra Power Unreliable,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
C_Infra_Internet_Poor_Expensive,C,C Infra Internet Poor Expensive,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
C_Infra_Logistics_Challenges,C,C Infra Logistics Challenges,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
C_Reg_Burden_Regulations_Taxes,C,C Reg Burden Regulations Taxes,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
C_Reg_Corruption_Informal_Charges,C,C Reg Corruption Informal Charges,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
C_Reg_Support_Programs_Effectiveness,C,C Reg Support Programs Effectiveness,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
C_Mkt_Competition_Intensity,C,C Mkt Competition Intensity,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
C_Mkt_Demand_Uncertainty,C,C Mkt Demand Uncertainty,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
C_Mkt_Limited_International_Access,C,C Mkt Limited International Access,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
Constraints_Financial_Index,C,Financial Constraints Index (mean of 3 items),number,1-5,,yes
Constraints_HumanCapital_Index,C,Human Capital Constraints Index (mean of 3 items),number,1-5,,yes
Constraints_Infrastructure_Index,C,Infrastructure Constraints Index (mean of 3 items),number,1-5,,yes
Constraints_Regulatory_Index,C,"Regulatory Constraints Index (mean of 3 items, effectiveness inverted)",number,1-5,,yes
Constraints_Market_Index,C,Market Constraints Index (mean of 3 items),number,1-5,,yes
Constraints_Composite_Index,C,Constraints Composite Index (weighted),number,1-5,,yes
D_Subj_Profitability_Growth,D,D Subj Profitability Growth,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
D_Subj_Sales_Growth,D,D Subj Sales Growth,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
D_Subj_MarketShare_Growth,D,D Subj MarketShare Growth,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
D_Subj_ROI,D,D Subj ROI,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
D_Subj_Overall_Satisfaction,D,D Subj Overall Satisfaction,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
D_NonFin_ProductLines_Increase,D,D NonFin ProductLines Increase,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
D_NonFin_Quality_Improved,D,D NonFin Quality Improved,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
D_NonFin_Customer_Satisfaction_Retention,D,D NonFin Customer Satisfaction Retention,integer,"1-5 (1=Strongly Disagree, 5=Strongly Agree)",,no
SubjectivePerformanceIndex,D,Subjective Performance Index (mean of 5 items),number,1-5,,yes
turnover_naira_reported,D,"Annual Turnover (NGN, reported)",number,,,no
turnover_range,D,Annual Turnover Range (NGN),string,,"0-1m,1-5m,5-20m,20-100m,100-500m,>500m",no
profit_naira_reported,D,"Annual Profit (NGN, reported)",number,,,no
profit_range,D,Annual Profit Range (NGN),string,,"0-250k,250k-1m,1-5m,5-20m,20-100m,>100m",no
employee_growth_rate,D,Employee Growth Rate (ratio),number,,,no
employee_growth_percent,D,Employee Growth Rate (%),number,,,no
num_new_branches,D,Number of New Branches (3y),integer,,,no
num_new_clients,D,Number of New Clients (3y),integer,,,no
